BACKUP DE USUARIOS GENÉRICOS - 2025-09-17 09:43:10
================================================================================

Usuario: Usuario_3
ID BD: 229
Biométrico ID: 3
Estación: Iberia
Total registros: 58
  - 2025-08-15 03:05:06+00:00 | NQS8 | Status: 15
  - 2025-08-15 18:54:56+00:00 | NQS8 | Status: 15
  - 2025-08-16 18:55:16+00:00 | NQS8 | Status: 15
  - 2025-08-17 03:13:51+00:00 | NQS8 | Status: 15
  - 2025-08-18 01:53:13+00:00 | NQS8 | Status: 15
  - 2025-08-18 11:03:40+00:00 | NQS8 | Status: 15
  - 2025-08-19 01:54:27+00:00 | NQS8 | Status: 15
  - 2025-08-19 11:04:32+00:00 | NQS8 | Status: 15
  - 2025-08-20 10:53:15+00:00 | NQS8 | Status: 15
  - 2025-08-20 23:00:59+00:00 | NQS8 | Status: 15
  - 2025-08-21 10:57:02+00:00 | NQS8 | Status: 15
  - 2025-08-22 18:56:01+00:00 | NQS8 | Status: 15
  - 2025-08-23 03:07:34+00:00 | NQS8 | Status: 15
  - 2025-08-23 10:57:09+00:00 | NQS8 | Status: 15
  - 2025-08-24 03:18:26+00:00 | NQS8 | Status: 15
  - 2025-08-24 22:56:57+00:00 | NQS8 | Status: 15
  - 2025-08-25 18:30:42+00:00 | Iberia | Status: 15
  - 2025-08-26 02:55:11+00:00 | NQS8 | Status: 15
  - 2025-08-26 11:29:58+00:00 | NQS8 | Status: 15
  - 2025-08-27 02:28:34+00:00 | Iberia | Status: 15
  - 2025-08-27 02:55:16+00:00 | NQS8 | Status: 15
  - 2025-08-27 11:13:18+00:00 | NQS8 | Status: 15
  - 2025-08-28 02:33:18+00:00 | Iberia | Status: 15
  - 2025-08-28 02:56:15+00:00 | NQS8 | Status: 15
  - 2025-08-28 11:04:57+00:00 | NQS8 | Status: 15
  - 2025-08-29 02:55:05+00:00 | NQS8 | Status: 15
  - 2025-08-29 18:35:01+00:00 | Iberia | Status: 15
  - 2025-08-30 03:17:47+00:00 | Iberia | Status: 15
  - 2025-08-30 10:56:16+00:00 | NQS8 | Status: 15
  - 2025-08-30 18:37:57+00:00 | Iberia | Status: 15
  - 2025-08-30 23:14:43+00:00 | NQS8 | Status: 15
  - 2025-08-31 10:39:02+00:00 | Iberia | Status: 15
  - 2025-08-31 10:57:36+00:00 | NQS8 | Status: 15
  - 2025-08-31 19:37:02+00:00 | Iberia | Status: 15
  - 2025-08-31 23:02:28+00:00 | NQS8 | Status: 15
  - 2025-09-01 10:41:33+00:00 | Iberia | Status: 15
  - 2025-09-01 10:55:50+00:00 | NQS8 | Status: 15
  - 2025-09-01 19:01:53+00:00 | NQS8 | Status: 15
  - 2025-09-02 10:55:49+00:00 | NQS8 | Status: 15
  - 2025-09-02 18:40:55+00:00 | Iberia | Status: 15
  - 2025-09-02 19:12:24+00:00 | NQS8 | Status: 15
  - 2025-09-03 10:42:19+00:00 | Iberia | Status: 15
  - 2025-09-03 10:55:03+00:00 | NQS8 | Status: 15
  - 2025-09-03 23:27:50+00:00 | NQS8 | Status: 15
